ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
STL76132	POLYSTINGER PIGGIE	109.46	160.97	222.48			1	80926761322	2.80	8.75	5.25	4.10	USA
STL76182	POLYSTINGER LED W/AC/DC - PIGGYBACK HOLDER	129.32	190.18	222.48			1	80926761827	2.85	9.00	5.50	4.00	USA
TMRTI81	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	0.75	0.75	0.63	CHN
TMRTI82	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	0.75	0.75	0.63	TWN
TMRTI83	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	0.75	0.75	0.55	TWN
TMRTI84	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	0.75	0.75	0.55	TWN
TMRTI85	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	0.75	0.75	0.55	CHN
TMRTI86	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	1.00	1.00	0.63	CHN
TMRTI87	OPEN-END ACORN CHROME WHEEL LUG NUT	0.25	0.38	0.51			1		0.06	0.75	0.75	0.55	CHN
TMRVT315	3/8 X 3/8 X 1/4 TEE	0.99	1.52	3.84			1		0.00	0.38	0.38	0.25	USA
TMRVT541	3/8 X 3/8 STRAIGHT CONNECTOR	0.99	1.52	3.84			1		0.00	0.38	0.38	0.38	USA
TMRVT563	1/8 X 1/4 STRAIGHT CONNECTOR	0.30	0.46	0.46			1		0.00	0.19	0.19	0.13	USA
TMRVT600	3/8 X 1/4 CONNECTOR	0.99	1.52	3.84			1		0.01	1.50	0.38	0.25	USA
ACA13144	TRIANGLE SANDING PAD FOR 6320 MINI-SANDER/POLISHER	8.17	11.44	11.44			1		0.50	2.00	2.00	1.00	TWN
AMXX3D42100	"S XTREME X3200 POWDER FREE, BLUE NITRILE"	10.14	15.60	20.95			1	697383950970	1.85	9.60	5.20	3.00	IDN
AMXX3D44100	"M XTREME X3200 POWDER FREE, BLUE NITRILE"	10.14	15.60	20.95			1	697383951083	1.65	9.50	9.50	5.00	IDN
AMXX3D46100	"L XTREME X3200 POWDER FREE, BLUE NITRILE"	10.14	15.60	20.95		202	1	697383951199	1.85	9.60	5.10	2.90	IDN
AMXX3D48100	"XL XTREME X3200 POWDER FREE, BLUE NITRILE"	10.14	15.60	20.95			1	697383951304	1.95	9.50	5.50	3.00	IDN
AMXX3D49100	"2XL XTREME X3200 POWDER FREE, BLUE NITRILE"	10.14	15.60	20.95			1	697383951410	2.05	9.60	5.30	3.60	IDN
